planner,instance,num_holes,num_hole_vertices,cost,sweep_distance,v_max,a_max,num_nodes,num_edges,num_cells,decomposition,edge_creation,line_sweeps,node_creation,poly_offset,polygon_adjacency,pruning,setup_solver,solve,sweep_graph,timer_setup_total,timer_solve_total
our_bcd,0/0000,0,0,1438.12,3,3,1,8,0,1,0.000769885,1.0651e-05,0.0135356,0.000851832,4.564e-06,1.185e-06,0.000175356,1.5e-07,0.0262689,0.0146269,0.0154248,0.0262713
our_tcd,0/0000,0,0,1438.12,3,3,1,8,0,1,0.000548052,7.683e-06,0.0147195,0.000841397,9.94e-07,2.91e-07,0.000210738,1e-07,0.00363147,0.0158085,0.0163627,0.00363292
one_dir_gkma,0/0000,0,0,1438.12,3,3,1,1,0,1,0.000439058,1.817e-06,0.00421728,0.000194523,1.239e-06,3.03e-07,1.5643e-05,3.92e-07,0.00541652,0.00449566,0.00494072,0.00541736
gtsp_exact,0/0000,0,0,1438.12,3,3,1,8,0,1,0.000432357,8.747e-06,0.0146346,0.000854235,1.268e-06,2.85e-07,0.000209182,4.5156e-05,0.000468307,0.0157323,0.0162151,0.000469115
one_dir_exact,0/0000,0,0,1438.12,3,3,1,1,0,1,0.000416073,1.67e-06,0.0039289,0.000117572,1.042e-06,2.87e-07,9.301e-06,1.3803e-05,0.000187185,0.00409156,0.00452622,0.000188036
our_bcd,0/0001,0,0,1438.12,3,3,1,8,0,1,0.000718899,6.751e-06,0.0154279,0.000840926,1.171e-06,2.88e-07,0.000215306,2.61e-07,0.00354444,0.0165674,0.0172953,0.0035455
our_tcd,0/0001,0,0,1438.12,3,3,1,8,0,1,0.000482372,7.549e-06,0.0142356,0.000871232,1.005e-06,3.69e-07,0.000216129,2.42e-07,0.00366875,0.0153804,0.0158681,0.0036702
one_dir_gkma,0/0001,0,0,1438.12,3,3,1,1,0,1,0.00043471,1.098e-06,0.00387871,0.000107408,1.115e-06,2.73e-07,7.34e-06,6.3e-08,0.00525726,0.0040184,0.00445839,0.00525803
gtsp_exact,0/0001,0,0,1438.12,3,3,1,8,0,1,0.000411021,7.058e-06,0.0147199,0.000817486,6.85e-07,1.58e-07,0.000208918,1.5993e-05,0.000434527,0.015798,0.0162295,0.000435644
one_dir_exact,0/0001,0,0,1438.12,3,3,1,1,0,1,0.000443839,1.869e-06,0.00405905,0.000115841,1.321e-06,4.47e-07,9.201e-06,1.3738e-05,0.000194459,0.00421603,0.00467879,0.000195346
our_bcd,0/0002,0,0,1438.12,3,3,1,8,0,1,0.00067782,9.143e-06,0.0139134,0.000918297,1.123e-06,2.64e-07,0.000214519,2.12e-07,0.00360415,0.0151125,0.0157956,0.00360514
our_tcd,0/0002,0,0,1438.12,3,3,1,8,0,1,0.000484597,7.347e-06,0.0148532,0.000831282,1.058e-06,2.88e-07,0.000210188,2.04e-07,0.00346107,0.0159385,0.0164279,0.00346196
one_dir_gkma,0/0002,0,0,1438.12,3,3,1,1,0,1,0.000419588,8.83e-07,0.00381863,0.000115425,1.322e-06,2.9e-07,7.81e-06,1.8e-07,0.00557339,0.00398119,0.00440599,0.00557484
gtsp_exact,0/0002,0,0,1438.12,3,3,1,8,0,1,0.000492756,7.595e-06,0.0162384,0.000866749,1.528e-06,4.37e-07,0.00021515,1.523e-05,0.000428253,0.0173716,0.0178898,0.000429104
one_dir_exact,0/0002,0,0,1438.12,3,3,1,1,0,1,0.000431245,1.431e-06,0.00375179,0.000113916,1.024e-06,2.88e-07,9.361e-06,1.0742e-05,0.000186291,0.00389626,0.00434284,0.000186973
